Epoch 360, Loss G: -2.3695,Loss D: -0.2530
Epoch 361, Loss G: -2.3912,Loss D: -0.1707
Epoch 362, Loss G: -2.3882,Loss D: -0.2383
Epoch 363, Loss G: -2.3301,Loss D:  0.0783
Epoch 364, Loss G: -2.4564,Loss D: -0.1500
Epoch 365, Loss G: -2.5347,Loss D:  0.2041
Epoch 366, Loss G: -2.4888,Loss D:  0.2034
Epoch 367, Loss G: -2.5390,Loss D:  0.3483
Epoch 368, Loss G: -2.4561,Loss D:  0.1845
Epoch 369, Loss G: -2.6113,Loss D:  0.3123
Epoch 370, Loss G: -2.7456,Loss D:  0.0446
Epoch 371, Loss G: -2.6063,Loss D:  0.2926
Epoch 372, Loss G: -2.4430,Loss D: -0.0122
Epoch 373, Loss G: -2.7378,Loss D:  0.2515
Epoch 374, Loss G: -2.7573,Loss D: -0.2808
Epoch 375, Loss G: -2.6910,Loss D: -0.0535
Epoch 376, Loss G: -2.9807,Loss D: -0.2504
Epoch 377, Loss G: -2.9568,Loss D:  0.0667
Epoch 378, Loss G: -3.0175,Loss D: -0.1193
Epoch 379, Loss G: -3.0432,Loss D:  0.2605
Epoch 380, Loss G: -3.5670,Loss D:  0.3148
Epoch 381, Loss G: -3.4303,Loss D:  0.1026
Epoch 382, Loss G: -3.6681,Loss D:  0.6238
Epoch 383, Loss G: -3.6402,Loss D:  0.0240
Epoch 384, Loss G: -3.9574,Loss D:  0.0014
Epoch 385, Loss G: -3.9242,Loss D:  0.3503
Epoch 386, Loss G: -3.9142,Loss D:  0.1020
Epoch 387, Loss G: -3.3599,Loss D:  0.3166
Epoch 388, Loss G: -3.5728,Loss D:  0.2194
Epoch 389, Loss G: -3.7342,Loss D:  0.0642
Epoch 390, Loss G: -3.4920,Loss D:  0.0748
Epoch 391, Loss G: -3.1390,Loss D: -0.0779
Epoch 392, Loss G: -3.1716,Loss D: -0.1494
Epoch 393, Loss G: -3.3804,Loss D: -0.1355
Epoch 394, Loss G: -3.2780,Loss D:  0.1137
Epoch 395, Loss G: -3.4951,Loss D:  0.0898
Epoch 396, Loss G: -3.0096,Loss D:  0.1809
Epoch 397, Loss G: -2.9289,Loss D: -0.1971
Epoch 398, Loss G: -2.9284,Loss D:  0.1834
Epoch 399, Loss G: -3.1608,Loss D:  0.1315
Epoch 400, Loss G: -3.2482,Loss D:  0.1208
Epoch 401, Loss G: -3.1848,Loss D: -0.1358
Epoch 402, Loss G: -3.3301,Loss D:  0.1953
Epoch 403, Loss G: -3.4273,Loss D:  0.1813
Epoch 404, Loss G: -3.5802,Loss D:  0.0417
Epoch 405, Loss G: -3.5588,Loss D:  0.2362
Epoch 406, Loss G: -3.2914,Loss D:  0.4870
Epoch 407, Loss G: -3.5257,Loss D:  0.5549
Epoch 408, Loss G: -3.6174,Loss D: -0.0610
Epoch 409, Loss G: -3.3081,Loss D:  0.1216
Epoch 410, Loss G: -3.4004,Loss D:  0.0118
Epoch 411, Loss G: -3.4878,Loss D: -0.0155
Epoch 412, Loss G: -3.2368,Loss D: -0.0051
Epoch 413, Loss G: -3.0358,Loss D: -0.3697
Epoch 414, Loss G: -2.9973,Loss D: -0.1074
Epoch 415, Loss G: -3.1651,Loss D: -0.2761
Epoch 416, Loss G: -3.2407,Loss D: -0.2488
Epoch 417, Loss G: -3.2463,Loss D: -0.0658
Epoch 418, Loss G: -3.3059,Loss D:  0.1296
Epoch 419, Loss G: -3.5176,Loss D:  0.0427
Epoch 420, Loss G: -3.6277,Loss D:  0.1807
Epoch 421, Loss G: -3.6392,Loss D:  0.1951
Epoch 422, Loss G: -3.3292,Loss D:  0.3595
Epoch 423, Loss G: -3.3059,Loss D:  0.3768
Epoch 424, Loss G: -3.2494,Loss D:  0.0654
Epoch 425, Loss G: -3.2943,Loss D: -0.0743
Epoch 426, Loss G: -3.1947,Loss D:  0.0905
Epoch 427, Loss G: -3.4588,Loss D:  0.0296
Epoch 428, Loss G: -3.3621,Loss D:  0.0915
Epoch 429, Loss G: -3.4996,Loss D: -0.0380
Epoch 430, Loss G: -3.3551,Loss D: -0.1135
Epoch 431, Loss G: -3.4988,Loss D:  0.0667
Epoch 432, Loss G: -3.8028,Loss D:  0.0583
Epoch 433, Loss G: -3.6275,Loss D:  0.2101
Epoch 434, Loss G: -3.5659,Loss D: -0.1152
Epoch 435, Loss G: -3.9641,Loss D:  0.0114
Epoch 436, Loss G: -3.6580,Loss D:  0.2530
Epoch 437, Loss G: -3.6868,Loss D:  0.2519
Epoch 438, Loss G: -3.6829,Loss D: -0.0021
Epoch 439, Loss G: -3.7257,Loss D:  0.2914
Epoch 440, Loss G: -3.5967,Loss D:  0.4216
Epoch 441, Loss G: -3.5751,Loss D:  0.2139
Epoch 442, Loss G: -3.8934,Loss D:  0.3013
Epoch 443, Loss G: -3.6793,Loss D:  0.0728
Epoch 444, Loss G: -3.5261,Loss D:  0.1245
Epoch 445, Loss G: -3.5410,Loss D:  0.3714
Epoch 446, Loss G: -3.5829,Loss D: -0.3578
Epoch 447, Loss G: -3.5222,Loss D:  0.4181
Epoch 448, Loss G: -3.2283,Loss D: -0.0608
Epoch 449, Loss G: -3.5259,Loss D:  0.1372
Epoch 450, Loss G: -3.3240,Loss D:  0.0524
Epoch 451, Loss G: -3.2959,Loss D: -0.0900
Epoch 452, Loss G: -3.3843,Loss D:  0.1476
Epoch 453, Loss G: -3.3895,Loss D:  0.0178
Epoch 454, Loss G: -3.4021,Loss D: -0.0628
Epoch 455, Loss G: -3.3084,Loss D: -0.0202
Epoch 456, Loss G: -3.5314,Loss D:  0.1073
Epoch 457, Loss G: -3.4376,Loss D:  0.1633
Epoch 458, Loss G: -3.1139,Loss D:  0.1408
Epoch 459, Loss G: -3.3318,Loss D: -0.1195
Epoch 460, Loss G: -3.0058,Loss D: -0.0592
Epoch 461, Loss G: -3.4112,Loss D: -0.0770
Epoch 462, Loss G: -3.0963,Loss D:  0.0379
Epoch 463, Loss G: -3.2265,Loss D: -0.2316
Epoch 464, Loss G: -3.1846,Loss D: -0.5602
Epoch 465, Loss G: -2.9326,Loss D: -0.2065
Epoch 466, Loss G: -3.1916,Loss D:  0.0372
Epoch 467, Loss G: -3.0723,Loss D: -0.1666
Epoch 468, Loss G: -2.8972,Loss D:  0.2505
Epoch 469, Loss G: -2.9001,Loss D:  0.1794
Epoch 470, Loss G: -2.8082,Loss D: -0.1374
Epoch 471, Loss G: -3.0744,Loss D: -0.0984
Epoch 472, Loss G: -3.1570,Loss D:  0.3452
Epoch 473, Loss G: -2.9857,Loss D: -0.0073
Epoch 474, Loss G: -3.0898,Loss D:  0.2397
Epoch 475, Loss G: -3.1129,Loss D:  0.3002
