Epoch 421, Loss G: -4.2392,Loss D: -0.2247
Epoch 422, Loss G: -4.3779,Loss D: -0.7952
Epoch 423, Loss G: -3.9108,Loss D: -0.4858
Epoch 424, Loss G: -4.2970,Loss D: -0.3823
Epoch 425, Loss G: -4.4968,Loss D: -0.0843
Epoch 426, Loss G: -4.3924,Loss D: -0.0560
Epoch 427, Loss G: -4.3736,Loss D:  0.2754
Epoch 428, Loss G: -4.7863,Loss D:  0.3467
Epoch 429, Loss G: -4.9184,Loss D:  0.1758
Epoch 430, Loss G: -5.3384,Loss D:  0.6398
Epoch 431, Loss G: -4.7275,Loss D:  0.4197
Epoch 432, Loss G: -4.8207,Loss D: -0.4438
Epoch 433, Loss G: -5.2703,Loss D:  0.1656
Epoch 434, Loss G: -4.6491,Loss D: -0.1999
Epoch 435, Loss G: -5.2371,Loss D:  0.4824
Epoch 436, Loss G: -4.7889,Loss D:  0.4088
Epoch 437, Loss G: -4.5666,Loss D:  0.0003
Epoch 438, Loss G: -4.4457,Loss D:  0.3909
Epoch 439, Loss G: -4.3009,Loss D:  0.2067
Epoch 440, Loss G: -3.5516,Loss D:  0.4854
Epoch 441, Loss G: -3.6904,Loss D: -0.4197
Epoch 442, Loss G: -3.6003,Loss D: -0.0281
Epoch 443, Loss G: -3.5258,Loss D: -0.1477
Epoch 444, Loss G: -3.4912,Loss D: -0.1402
Epoch 445, Loss G: -3.3172,Loss D: -0.4542
Epoch 446, Loss G: -3.7420,Loss D: -0.7582
Epoch 447, Loss G: -3.1146,Loss D: -0.4229
Epoch 448, Loss G: -3.6910,Loss D: -0.4107
Epoch 449, Loss G: -2.9520,Loss D: -0.4171
Epoch 450, Loss G: -3.1949,Loss D:  0.1015
Epoch 451, Loss G: -3.3264,Loss D:  0.0553
Epoch 452, Loss G: -2.8368,Loss D: -0.5951
Epoch 453, Loss G: -3.3517,Loss D:  0.0671
Epoch 454, Loss G: -3.6785,Loss D: -0.2764
Epoch 455, Loss G: -3.8678,Loss D:  0.2230
Epoch 456, Loss G: -3.4641,Loss D:  0.2666
Epoch 457, Loss G: -3.9717,Loss D:  0.0346
Epoch 458, Loss G: -4.1832,Loss D:  0.3784
