Epoch 334, Loss G: -3.8329,Loss D:  0.1241
Epoch 335, Loss G: -3.9110,Loss D:  0.3253
Epoch 336, Loss G: -4.1052,Loss D: -0.0921
Epoch 337, Loss G: -4.1133,Loss D: -0.0419
Epoch 338, Loss G: -3.9729,Loss D: -0.3614
Epoch 339, Loss G: -3.9748,Loss D: -0.3701
Epoch 340, Loss G: -4.0690,Loss D: -0.2326
Epoch 341, Loss G: -3.9362,Loss D: -0.8174
Epoch 342, Loss G: -4.3592,Loss D: -0.0650
Epoch 343, Loss G: -4.3929,Loss D: -0.3619
Epoch 344, Loss G: -4.2511,Loss D: -0.0098
Epoch 345, Loss G: -4.4377,Loss D:  0.1314
Epoch 346, Loss G: -4.4594,Loss D: -0.1256
Epoch 347, Loss G: -4.3909,Loss D: -0.3393
Epoch 348, Loss G: -4.7779,Loss D: -0.0898
Epoch 349, Loss G: -4.6194,Loss D:  0.4115
Epoch 350, Loss G: -4.8318,Loss D:  0.3652
Epoch 351, Loss G: -4.7633,Loss D:  0.1902
Epoch 352, Loss G: -4.9696,Loss D:  0.1130
Epoch 353, Loss G: -5.0951,Loss D: -0.0427
Epoch 354, Loss G: -5.1180,Loss D:  0.1613
Epoch 355, Loss G: -4.7346,Loss D:  0.4430
Epoch 356, Loss G: -4.9053,Loss D:  0.0800
Epoch 357, Loss G: -4.6517,Loss D:  0.6520
Epoch 358, Loss G: -4.5417,Loss D:  0.1702
Epoch 359, Loss G: -4.5959,Loss D:  0.1624
Epoch 360, Loss G: -4.3752,Loss D: -0.1570
Epoch 361, Loss G: -4.2735,Loss D:  0.0610
Epoch 362, Loss G: -4.0794,Loss D: -0.1555
Epoch 363, Loss G: -4.2129,Loss D: -0.1003
Epoch 364, Loss G: -4.0052,Loss D: -0.0865
Epoch 365, Loss G: -4.1684,Loss D: -0.4655
Epoch 366, Loss G: -4.1924,Loss D:  0.3549
Epoch 367, Loss G: -4.1143,Loss D: -0.0360
Epoch 368, Loss G: -4.2844,Loss D:  0.1876
Epoch 369, Loss G: -4.2488,Loss D: -0.2012
Epoch 370, Loss G: -4.4444,Loss D:  0.3645
Epoch 371, Loss G: -4.5567,Loss D: -0.0947
